airbnb_listing_id,adr,price_median,price_std,n_dates,first_date,last_date,period_days,occupancy_proxy,est_annual_revenue,est_revenue_observed_period
21077682,791.90909,670.3333,203.30777111346742,110,2025-01-09,2025-04-07,89,1.0,289046.81785,87109.9999
21091876,767.8160173160173,700.0,94.06559761875543,231,2025-01-08,2025-04-20,103,1.0,280252.84632034635,177365.5
21103486,357.3311225595238,350.0,88.5994624253536,168,2025-01-22,2025-04-20,89,1.0,130425.8597342262,60031.62859
21103807,1081.6901408450703,1450.0,484.7119495579469,71,2025-01-27,2025-04-07,71,1.0,394816.9014084507,76800.0
21280090,825.9509493670886,850.0,50.544522680289624,158,2025-01-16,2025-04-20,95,1.0,301472.0965189873,130500.25
21295667,679.2234837878788,517.0,230.62704928770128,132,2025-02-27,2025-04-20,53,1.0,247916.57158257574,89657.49986
21324331,797.9677419354839,802.0,213.34078941066912,93,2025-02-05,2025-03-24,48,1.0,291258.22580645164,74211.0
21397811,710.9806302702702,600.0,180.1012004720747,185,2025-01-27,2025-04-16,80,1.0,259507.93004864865,131531.4166
21436592,528.8059701492538,490.0,62.65640764010277,67,2025-01-12,2025-03-31,79,0.8481012658227848,163695.56962025317,35430.0
21454457,211.6551724137931,172.0,88.25623242341787,29,2025-02-19,2025-04-20,61,0.47540983606557374,36727.37704918032,6138.0
21545686,321.54055555555556,269.0,58.96972184656886,180,2025-02-03,2025-04-20,77,1.0,117362.30277777778,57877.3
21552865,739.964705882353,750.0,52.1999240691894,85,2025-01-16,2025-03-05,49,1.0,270087.11764705885,62897.0
21607605,779.0921978723404,650.0,214.25754191828653,47,2025-01-25,2025-04-17,83,0.5662650602409639,161028.03198192772,36617.3333
21632405,505.2117655462185,408.0,152.5436114485619,119,2025-01-29,2025-04-16,78,1.0,184402.29442436976,60120.2001
21662762,317.9222222222222,300.0,118.7258410933393,90,2025-01-30,2025-04-17,78,1.0,116041.61111111111,28613.0
21695053,757.6960093896714,720.0,84.72610572353354,213,2025-01-22,2025-04-20,89,1.0,276559.0434272301,161389.25
21734892,792.4940476190476,800.0,148.67916819170523,168,2025-02-12,2025-04-20,68,1.0,289260.32738095237,133139.0
21743476,692.08295,650.0,106.69212661643182,56,2025-02-10,2025-04-06,56,1.0,252610.27675,38756.6452
21780661,478.25396825396825,600.0,146.60446767979616,63,2025-01-28,2025-04-06,69,0.9130434782608695,159383.3333333333,30130.0
22047595,700.8376901960784,620.0,226.09909851956678,153,2025-02-08,2025-04-20,72,1.0,255805.7569215686,107228.1666
22190101,277.5527778378378,250.0,51.44478959835018,111,2025-02-24,2025-04-20,56,1.0,101306.76391081081,30808.35834
22191680,460.52884615384613,400.0,156.805047225455,208,2025-01-25,2025-04-17,83,1.0,168093.02884615384,95790.0
22223346,592.25,590.0,93.09239735039831,28,2025-02-23,2025-04-06,43,0.6511627906976745,140762.67441860467,16583.0
22231120,334.46041675000004,341.0,20.620153895993237,80,2025-01-31,2025-04-20,80,1.0,122078.05211375002,26756.833340000005
22243318,550.6666666666666,580.0,45.48992562461861,111,2025-02-02,2025-04-20,78,1.0,200993.3333333333,61123.99999999999
22245880,1334.3490235294119,1220.5,244.63182757500266,170,2025-01-25,2025-04-20,86,1.0,487037.3935882353,226839.334
22306996,216.5238092857143,250.0,51.146960188342895,56,2025-03-22,2025-04-20,30,1.0,79031.19038928572,12125.33332
22307401,405.18518518518516,400.0,19.487741782260958,27,2025-02-24,2025-04-06,42,0.6428571428571429,95073.80952380953,10940.0
22335276,713.114428358209,800.0,105.41801678864698,67,2025-01-22,2025-04-05,74,0.9054054054054054,235665.04520945947,47778.6667
22383070,321.29583349999996,250.0,93.64433469210697,40,2025-01-27,2025-04-20,84,0.47619047619047616,55844.275822619034,12851.833339999997
22421016,806.1358037037038,800.0,16.135181982060715,27,2025-02-15,2025-02-23,9,1.0,294239.5683518519,21765.6667
22421421,434.98854961832063,347.0,180.65895904511578,131,2025-01-14,2025-04-20,97,1.0,158770.82061068702,56983.5
22421606,440.8,361.0,180.3956715648348,120,2025-01-12,2025-04-17,96,1.0,160892.0,52896.0
22428497,299.0,299.0,0.0,40,2025-02-03,2025-04-06,63,0.6349206349206349,69292.06349206349,11960.0
22514231,400.0,300.0,143.42743312012726,36,2025-01-10,2025-04-06,87,0.41379310344827586,60413.793103448275,14400.0
22648075,396.66153846153844,348.0,71.46977538150142,65,2025-02-02,2025-04-16,74,0.8783783783783784,127172.9054054054,25783.0
22739656,1243.655617679558,1280.0,130.8491308649236,181,2025-01-24,2025-04-20,87,1.0,453934.30045303865,225101.66679999998
22810332,480.0464285714286,480.0,0.6017830648521767,168,2025-02-15,2025-04-20,65,1.0,175216.94642857142,80647.8
22901902,721.0091042016807,700.0,47.72133648446672,238,2025-01-19,2025-04-20,92,1.0,263168.32303361344,171600.1668
23023313,549.1101694915254,650.0,175.63500216899513,177,2025-01-22,2025-04-19,88,1.0,200425.21186440677,97192.5
23068512,636.9473684210526,700.0,87.83347481595848,19,2025-01-13,2025-02-27,46,0.41304347826086957,96026.73913043478,12102.0
23078040,774.074074074074,800.0,67.80990406090493,54,2025-02-09,2025-04-19,70,0.7714285714285715,217957.14285714287,41800.0
23108026,679.3243243243244,590.0,137.3559627250035,74,2025-01-07,2025-04-06,90,0.8222222222222222,203872.77777777778,50270.00000000001
23263225,286.40909090909093,283.0,11.564159813926358,11,2025-01-24,2025-02-03,11,1.0,104539.31818181819,3150.5000000000005
23299596,612.4444444444445,553.0,176.17368774583863,36,2025-01-15,2025-03-28,73,0.4931506849315068,110239.99999999999,22048.0
23343001,568.4976303317535,600.0,97.11102504264962,211,2025-01-20,2025-03-31,71,1.0,207501.63507109002,119952.99999999999
23390752,1377.2948717948718,1350.0,118.94063879841725,78,2025-01-20,2025-04-07,78,1.0,502712.6282051282,107429.0
23779860,406.25,300.0,168.4547895698791,32,2025-01-25,2025-04-17,83,0.3855421686746988,57168.674698795185,13000.0
23787711,400.0,400.0,0.0,90,2025-01-06,2025-04-05,90,1.0,146000.0,36000.0
24171739,451.6607142857143,416.0,123.8728492939748,56,2025-03-01,2025-04-16,47,1.0,164856.1607142857,25293.0
25104649,714.9017857142857,890.0,230.97033699884295,112,2025-01-06,2025-04-07,92,1.0,260939.15178571426,80069.0
25165914,617.3081896551724,700.0,140.65999678140182,232,2025-01-08,2025-04-20,103,1.0,225317.48922413794,143215.5
25918412,429.68489578125,390.0,103.57508901536688,64,2025-02-03,2025-04-07,64,1.0,156834.98696015627,27499.83333
26026295,451.4513888888889,390.0,117.37166079853858,72,2025-01-21,2025-04-11,81,0.8888888888888888,146470.8950617284,32504.5
26197944,473.1613924050633,450.0,57.05609651598345,158,2025-02-05,2025-04-20,75,1.0,172703.9082278481,74759.5
26334990,1219.8892477419356,1200.0,80.08853434756651,155,2025-01-31,2025-04-20,80,1.0,445259.5754258065,189082.83340000003
26570136,702.0586803030303,745.83335,206.2650722799462,198,2025-01-16,2025-04-20,95,1.0,256251.41831060607,139007.6187
26708551,559.5928565714286,478.0,206.70560279897254,175,2025-01-14,2025-04-20,97,1.0,204251.39264857143,97928.7499
26839303,762.5758395348837,800.0,208.71574175343662,129,2025-01-24,2025-04-17,84,1.0,278340.18143023254,98372.2833
26895628,966.360824742268,850.0,286.76744300212926,97,2025-02-13,2025-04-16,63,1.0,352721.7010309278,93737.0
26898492,373.6842105263158,350.0,55.430553221494804,38,2025-02-13,2025-04-07,54,0.7037037037037037,95981.48148148147,14200.0
27022969,1726.4677773333333,1808.0,184.14571805845844,150,2025-01-08,2025-03-08,60,1.0,630160.7387266667,258970.1666
27201205,697.6355546666666,605.0,227.02574420178524,75,2025-01-23,2025-04-16,84,0.8928571428571429,227354.4441547619,52322.6666
27338096,1383.6067415730338,1350.0,125.98986412853071,89,2025-01-08,2025-04-06,89,1.0,505016.4606741573,123141.0
27704027,751.8098481818182,800.0,67.5303718337404,220,2025-01-27,2025-04-20,84,1.0,274410.59458636364,165398.1666
27718978,530.7317073170732,500.0,35.80434637739104,41,2025-03-09,2025-04-17,40,1.0,193717.07317073172,21760.0
27910707,1557.274074074074,1680.0,292.49709989065605,81,2025-01-14,2025-04-06,83,0.9759036144578314,554708.5301204819,126139.2
27981528,555.8431034482759,500.0,117.58382037176032,145,2025-01-15,2025-04-20,96,1.0,202882.7327586207,80597.25
28071688,680.996664,550.0,236.19389019540424,100,2025-02-28,2025-04-19,51,1.0,248563.78236,68099.6664
28075525,446.3397435897436,400.0,162.81119041579643,78,2025-02-26,2025-04-19,53,1.0,162914.0064102564,34814.5
28155872,400.0,400.0,0.0,25,2025-03-13,2025-04-06,25,1.0,146000.0,10000.0
28160414,612.328947368421,498.0,127.1527097895741,152,2025-02-19,2025-04-20,61,1.0,223500.06578947368,93074.0
28366360,837.0135135135135,1000.0,360.2441971911147,185,2025-01-10,2025-04-20,101,1.0,305509.9324324324,154847.5
28410850,515.0688702479339,494.0,33.97155392808755,121,2025-01-26,2025-04-19,84,1.0,188000.13764049587,62323.3333
28429135,433.16878285714284,330.8,208.80622076804886,63,2025-02-17,2025-04-20,63,1.0,158106.60574285715,27289.63332
28932247,495.75252525252523,450.0,78.00029839481692,99,2025-02-04,2025-04-07,63,1.0,180949.6717171717,49079.5
28987242,646.2340425531914,507.0,308.4676159992472,47,2025-03-01,2025-04-16,47,1.0,235875.42553191487,30372.999999999996
29008738,573.5882352941177,494.0,120.02249607581969,136,2025-01-15,2025-04-17,93,1.0,209359.70588235295,78008.0
29114516,364.5740740740741,400.0,47.598556379836204,81,2025-02-17,2025-04-20,63,1.0,133069.53703703705,29530.5
29145061,439.5571428571429,500.0,141.77905327675154,56,2025-01-08,2025-04-05,88,0.6363636363636364,102097.13636363637,24615.2
29302246,394.7241379310345,400.0,84.73918563791568,58,2025-01-22,2025-04-06,75,0.7733333333333333,111417.46666666667,22894.0
29341170,408.7826086956522,349.0,105.20855754029776,46,2025-01-29,2025-03-31,62,0.7419354838709677,110700.9677419355,18804.0
29739100,724.177011724138,720.0,87.52960357875084,145,2025-01-22,2025-04-20,89,1.0,264324.60927931033,105005.6667
29761442,512.875,380.0,146.3340689047572,28,2025-02-09,2025-03-14,34,0.8235294117647058,154164.19117647057,14360.5
29800671,615.8783459854014,596.0,167.46077078362782,137,2025-01-21,2025-04-20,90,1.0,224795.5962846715,84375.3334
29870406,818.7767587155963,980.0,266.0816183985491,218,2025-01-09,2025-04-16,98,1.0,298853.51693119266,178493.3334
30032994,428.6111111111111,395.0,185.38416401431994,144,2025-01-17,2025-04-06,80,1.0,156443.05555555553,61720.0
30085847,541.6046514418605,490.0,75.85090047493877,215,2025-01-07,2025-04-20,104,1.0,197685.69777627906,116445.00006
30098696,249.0,249.0,0.0,10,2025-01-23,2025-02-01,10,1.0,90885.0,2490.0
30105402,802.254820661157,900.0,261.52404049290305,242,2025-01-20,2025-04-20,91,1.0,292823.0095413223,194145.6666
30153564,423.4583331746032,425.5,69.98091217667854,126,2025-02-03,2025-04-20,77,1.0,154562.29160873016,53355.74998
30209117,470.35714285714283,450.0,49.89492443446084,42,2025-01-21,2025-03-31,70,0.6,103008.21428571428,19755.0
30271062,534.4868421052631,583.0,67.0326275622158,76,2025-01-22,2025-04-07,76,1.0,195087.69736842104,40621.0
30332330,373.975419352518,350.0,99.00697233420196,139,2025-01-27,2025-04-16,80,1.0,136501.02806366907,51982.583289999995
30354217,347.5740740740741,320.0,56.182857997466925,27,2025-01-18,2025-04-07,80,0.3375,42816.78125,9384.5
30402651,591.814705882353,550.0,48.95087431360987,170,2025-01-07,2025-03-31,84,1.0,216012.36764705885,100608.50000000001
30491733,800.9721841379311,799.4,96.64756428712076,145,2025-01-27,2025-04-20,84,1.0,292354.84721034486,116140.9667
30493854,497.36842105263156,450.0,89.94642094026163,114,2025-02-19,2025-03-31,41,1.0,181539.47368421053,56700.0
30494198,470.85167464114835,520.0,198.84924834379848,209,2025-01-06,2025-04-19,104,1.0,171860.86124401915,98408.0
30519162,3900.0,3900.0,0.0,91,2025-01-07,2025-04-07,91,1.0,1423500.0,354900.0
30560948,881.8909528571429,700.0,223.76045945773546,210,2025-01-14,2025-04-20,97,1.0,321890.1977928572,185197.1001
30617740,556.4929577464789,500.0,79.70947108599664,71,2025-02-09,2025-04-20,71,1.0,203119.9295774648,39511.0
30756202,564.8377197368421,550.0,43.5635097817306,76,2025-01-11,2025-04-06,86,0.8837209302325582,182193.00401744188,42927.6667
30785010,524.8525179856115,430.0,176.7296352087139,139,2025-01-10,2025-04-20,101,1.0,191571.1690647482,72954.5
30795921,1500.0,1500.0,0.0,22,2025-03-16,2025-04-06,22,1.0,547500.0,33000.0
30910938,473.8273381294964,450.0,49.564177114202415,139,2025-02-15,2025-04-20,65,1.0,172946.9784172662,65862.0
30922946,199.6056338028169,150.0,61.803023243952694,71,2025-01-12,2025-04-06,85,0.8352941176470589,60856.23529411765,14172.0
31055581,416.99375,415.0,65.37843362557207,160,2025-01-23,2025-04-20,88,1.0,152202.71875,66719.0
31059537,837.8356466666665,830.25,282.86260698822144,180,2025-01-11,2025-04-16,96,1.0,305810.0110333333,150810.4164
31069380,783.4344262295082,809.0,141.81608469569062,61,2025-01-14,2025-03-09,55,1.0,285953.5655737705,47789.5
31084342,814.1509433962265,800.0,172.47557198567338,53,2025-01-13,2025-04-07,85,0.6235294117647059,185291.17647058825,43150.0
31115702,339.07608695652175,300.0,66.62781929755639,46,2025-02-02,2025-04-07,65,0.7076923076923077,87585.96153846155,15597.5
31122806,564.0,500.0,149.66629547095766,25,2025-01-07,2025-01-31,25,1.0,205860.0,14100.0
31141252,402.63157894736844,300.0,119.65455256191005,38,2025-02-17,2025-04-07,50,0.76,111690.0,15300.0
31167122,10000.0,10000.0,0.0,85,2025-01-13,2025-04-07,85,1.0,3650000.0,850000.0
31169655,404.71923076923076,375.0,72.06952626864242,65,2025-01-30,2025-04-20,81,0.8024691358024691,118542.762345679,26306.75
31278015,504.2857142857143,430.0,136.32657505026327,56,2025-02-24,2025-04-20,56,1.0,184064.2857142857,28240.0
