dist_praia_km,number_of_bedrooms,number_of_bathrooms,number_of_beds,number_of_guests,cleaning_fee,picture_count,star_rating,guest_satisfaction_overall,cleanliness_rating,location_rating,value_rating,number_of_reviews,can_instant_book,tem_estacionamento,is_superhost,is_professional,is_guest_favorite,is_new_listing,listing_type_apart,years_host,months_host
0.48919025119581466,3,2.0,3,10,300.0,20,4.880000114440918,4.0,4.880000114440918,4.289999961853027,4.650000095367432,17,0.0,1,0.0,0.0,0.0,0.0,0.0,6,0
0.04787179432808952,1,2.0,2,4,190.0,0,4.75,4.0,5.0,4.5,5.0,12,1.0,1,0.0,1.0,1.0,0.0,1.0,6,1
0.1396023251739267,4,4.0,4,12,300.0,30,4.789999961853027,4.0,4.5,4.929999828338623,4.789999961853027,14,0.0,1,0.0,0.0,0.0,0.0,1.0,5,6
2.978862322284135,1,1.0,1,2,200.0,12,4.809999942779541,4.0,4.880000114440918,4.809999942779541,4.630000114440918,16,0.0,1,1.0,0.0,1.0,0.0,0.0,1,4
0.4504802847762392,2,1.0,3,5,120.0,25,5.0,5.0,4.829999923706055,4.829999923706055,5.0,6,1.0,1,0.0,0.0,1.0,0.0,1.0,1,5
0.19026873047432635,2,1.0,3,5,120.0,11,4.760000228881836,4.0,4.800000190734863,4.860000133514404,4.820000171661377,92,1.0,1,1.0,0.0,0.0,0.0,1.0,7,2
1.1636441441168444,3,2.0,4,7,280.0,12,4.789999961853027,4.0,4.71999979019165,4.929999828338623,4.860000133514404,29,0.0,1,0.0,0.0,0.0,0.0,1.0,9,1
0.507607000733868,2,2.0,2,5,200.0,15,4.809999942779541,4.0,4.559999942779541,4.690000057220459,4.75,16,0.0,1,1.0,0.0,0.0,0.0,1.0,1,3
3.6426091429957324,1,1.0,1,2,150.0,25,5.0,5.0,4.960000038146973,5.0,5.0,24,1.0,1,1.0,0.0,1.0,0.0,0.0,1,11
0.23511622495221762,2,2.0,2,6,270.0,0,5.0,5.0,5.0,5.0,5.0,2,1.0,1,0.0,1.0,0.0,1.0,1.0,6,1
1.9013296581667112,2,2.0,3,6,300.0,19,5.0,5.0,5.0,4.949999809265137,4.949999809265137,22,0.0,1,1.0,0.0,1.0,0.0,1.0,2,0
2.119189033819916,3,2.0,2,6,283.0,31,4.929999828338623,4.0,4.889999866485596,4.889999866485596,4.840000152587891,44,0.0,1,1.0,1.0,1.0,0.0,0.0,5,11
0.0509775305899246,1,1.0,2,4,190.0,0,4.75,4.0,4.880000114440918,4.75,4.75,8,1.0,1,0.0,1.0,0.0,0.0,1.0,6,1
0.9749253426679676,2,1.0,3,4,200.0,12,4.880000114440918,4.0,4.940000057220459,4.760000228881836,4.940000057220459,17,0.0,1,1.0,0.0,1.0,0.0,0.0,1,0
0.1066117643641171,3,3.0,3,8,250.0,13,4.889999866485596,4.0,4.929999828338623,4.960000038146973,4.739999771118164,80,0.0,1,0.0,0.0,1.0,0.0,1.0,6,10
0.813443221483019,3,2.0,6,8,350.0,25,4.829999923706055,4.0,4.929999828338623,4.980000019073486,4.679999828338623,41,1.0,1,0.0,0.0,1.0,0.0,1.0,6,11
0.15391381666601475,3,2.0,5,8,200.0,27,4.920000076293945,4.0,4.880000114440918,5.0,4.880000114440918,25,0.0,1,0.0,0.0,1.0,0.0,1.0,8,2
0.23189605763556073,3,2.0,5,7,260.0,24,5.0,5.0,5.0,5.0,5.0,12,0.0,1,0.0,0.0,1.0,0.0,1.0,5,11
2.281132872920654,3,3.0,6,8,250.0,30,4.900000095367432,4.0,4.889999866485596,4.96999979019165,4.840000152587891,63,0.0,1,0.0,1.0,1.0,0.0,1.0,7,0
1.5588426097184855,2,3.0,3,5,200.0,17,4.690000057220459,4.0,4.230000019073486,4.619999885559082,4.690000057220459,13,0.0,1,1.0,0.0,0.0,0.0,0.0,1,0
0.22160382057251762,3,2.0,5,9,350.0,22,4.599999904632568,4.0,4.699999809265137,5.0,4.800000190734863,10,0.0,1,0.0,0.0,0.0,0.0,1.0,1,10
1.8852747754153951,4,4.0,4,12,450.0,43,4.920000076293945,4.0,4.829999923706055,4.920000076293945,4.670000076293945,12,0.0,1,0.0,0.0,0.0,0.0,1.0,5,3
1.2335897985981086,1,1.0,0,2,44.0,18,5.0,5.0,5.0,4.900000095367432,5.0,21,0.0,1,1.0,0.0,1.0,0.0,0.0,0,11
0.4052518435911488,3,3.0,8,14,400.0,47,4.960000038146973,4.0,4.880000114440918,4.920000076293945,4.829999923706055,24,0.0,1,0.0,0.0,0.0,0.0,1.0,6,5
0.8079919192652363,2,2.0,4,7,250.0,14,5.0,5.0,5.0,5.0,4.829999923706055,6,1.0,1,0.0,0.0,1.0,0.0,1.0,5,2
0.8597257064090175,3,4.0,3,8,300.0,20,5.0,5.0,5.0,5.0,5.0,7,0.0,1,1.0,0.0,0.0,0.0,1.0,7,2
0.0509775305899246,1,1.0,2,4,190.0,0,4.949999809265137,4.0,5.0,4.860000133514404,4.860000133514404,22,1.0,0,0.0,1.0,1.0,0.0,1.0,6,1
2.831782060861467,2,1.0,4,7,180.0,9,4.900000095367432,4.0,4.849999904632568,4.900000095367432,4.75,20,0.0,1,1.0,0.0,0.0,0.0,1.0,2,8
0.21238924317732794,3,2.0,3,8,260.0,49,5.0,5.0,4.920000076293945,4.920000076293945,4.920000076293945,13,0.0,1,0.0,0.0,0.0,0.0,1.0,6,9
2.325289886888706,3,2.0,4,6,300.0,21,5.0,5.0,4.940000057220459,4.75,4.940000057220459,16,0.0,1,1.0,0.0,1.0,0.0,1.0,2,1
0.07914630762242264,4,3.0,8,8,350.0,24,4.829999923706055,4.0,4.559999942779541,5.0,4.78000020980835,18,0.0,1,0.0,0.0,0.0,0.0,1.0,8,0
0.5321116249876927,4,2.0,7,11,100.0,14,4.809999942779541,4.0,4.949999809265137,4.5,4.670000076293945,43,0.0,1,1.0,0.0,0.0,0.0,0.0,9,0
0.02898707620380537,2,2.0,4,6,250.0,39,4.869999885559082,4.0,4.699999809265137,4.940000057220459,4.829999923706055,126,0.0,1,1.0,0.0,1.0,0.0,1.0,6,4
1.1833634963587496,2,2.0,3,6,0.0,0,4.940000057220459,4.0,4.909999847412109,4.960000038146973,4.869999885559082,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0
0.05243332499776581,4,5.0,10,12,0.0,32,5.0,5.0,4.400000095367432,5.0,5.0,5,0.0,1,0.0,0.0,1.0,0.0,0.0,1,11
2.145546723962973,3,3.0,3,14,350.0,28,4.929999828338623,4.0,4.869999885559082,5.0,5.0,15,0.0,1,0.0,0.0,1.0,0.0,1.0,3,2
0.5025648442840723,1,1.0,1,3,200.0,7,4.800000190734863,4.0,4.920000076293945,4.599999904632568,4.679999828338623,50,0.0,0,0.0,0.0,0.0,0.0,1.0,3,2
0.15619978509372695,3,2.0,11,15,200.0,40,4.699999809265137,4.0,4.639999866485596,4.909999847412109,4.53000020980835,88,1.0,1,1.0,1.0,0.0,0.0,1.0,9,3
3.9042032198151295,1,1.0,1,2,150.0,19,5.0,5.0,4.980000019073486,4.980000019073486,4.980000019073486,47,1.0,1,1.0,0.0,1.0,0.0,0.0,1,11
0.5076069988994588,2,2.0,3,6,200.0,22,4.849999904632568,4.0,4.920000076293945,4.619999885559082,4.769999980926514,13,1.0,1,1.0,0.0,1.0,0.0,1.0,1,6
2.4758094155583388,3,3.0,6,8,300.0,38,4.909999847412109,4.0,4.650000095367432,5.0,5.0,23,0.0,1,1.0,0.0,1.0,0.0,1.0,2,8
1.0574467902346325,1,1.0,1,2,5.0,16,5.0,5.0,5.0,5.0,5.0,37,0.0,1,0.0,0.0,1.0,0.0,0.0,2,0
0.056852484347502404,2,1.0,2,5,180.0,46,4.880000114440918,4.0,4.849999904632568,4.789999961853027,4.78000020980835,81,0.0,1,0.0,1.0,0.0,0.0,1.0,6,2
0.6532494597168171,3,2.0,6,6,250.0,91,4.920000076293945,4.0,4.860000133514404,4.980000019073486,4.900000095367432,130,0.0,1,1.0,0.0,1.0,0.0,1.0,8,11
2.640665602063238,3,3.0,3,12,250.0,26,5.0,5.0,4.5,4.829999923706055,4.829999923706055,6,0.0,1,0.0,0.0,0.0,0.0,1.0,3,1
0.1681270569317725,3,3.0,3,6,350.0,35,5.0,5.0,5.0,4.800000190734863,4.900000095367432,10,0.0,1,0.0,0.0,1.0,0.0,1.0,3,7
1.9665443835514578,2,1.0,2,4,250.0,27,4.809999942779541,4.0,4.860000133514404,4.920000076293945,4.829999923706055,36,0.0,1,0.0,0.0,1.0,0.0,0.0,7,0
0.5382945570592528,7,3.0,8,13,250.0,20,4.940000057220459,4.0,4.960000038146973,4.769999980926514,4.889999866485596,47,0.0,1,0.0,0.0,1.0,0.0,0.0,6,10
0.04787179432808952,1,1.0,2,4,190.0,0,4.949999809265137,4.0,5.0,4.909999847412109,4.909999847412109,22,1.0,0,0.0,1.0,1.0,0.0,1.0,6,1
0.3853215089048461,3,2.0,5,8,250.0,17,5.0,5.0,5.0,5.0,4.909999847412109,11,1.0,1,1.0,0.0,1.0,0.0,1.0,8,0
0.2837073864891209,4,4.0,8,12,400.0,29,5.0,5.0,4.829999923706055,5.0,4.670000076293945,6,0.0,1,0.0,0.0,0.0,0.0,1.0,7,0
1.4400358455522337,2,2.0,3,6,250.0,21,4.920000076293945,4.0,5.0,4.920000076293945,5.0,12,1.0,1,1.0,0.0,1.0,0.0,1.0,3,1
0.11113385650613374,4,4.0,4,8,0.0,25,5.0,5.0,4.829999923706055,5.0,5.0,12,1.0,1,0.0,0.0,1.0,0.0,1.0,1,7
1.0695221515843343,2,2.0,2,6,200.0,35,4.639999866485596,4.0,4.730000019073486,4.730000019073486,4.550000190734863,11,1.0,1,1.0,0.0,0.0,0.0,1.0,2,3
0.280053161831844,4,3.0,5,12,300.0,24,5.0,5.0,5.0,5.0,5.0,10,0.0,1,0.0,0.0,1.0,0.0,0.0,1,10
0.3040507857725701,1,2.0,2,3,200.0,37,4.929999828338623,4.0,4.929999828338623,4.869999885559082,4.800000190734863,15,1.0,1,1.0,0.0,1.0,0.0,1.0,9,10
0.937157429141137,3,2.0,3,6,250.0,1,5.0,5.0,4.25,4.880000114440918,4.880000114440918,8,0.0,1,0.0,0.0,0.0,0.0,1.0,3,11
0.5586256127542596,3,2.0,4,5,200.0,16,4.880000114440918,4.0,4.869999885559082,4.78000020980835,4.760000228881836,236,0.0,1,1.0,0.0,0.0,0.0,1.0,10,8
0.21554645048613727,3,2.0,4,11,250.0,16,4.96999979019165,4.0,4.96999979019165,5.0,5.0,37,0.0,1,1.0,0.0,1.0,0.0,1.0,3,7
0.3193135965501882,3,2.0,4,6,200.0,14,5.0,5.0,5.0,5.0,5.0,11,0.0,1,0.0,0.0,1.0,0.0,1.0,1,4
0.19847284622889325,4,2.0,5,10,297.0,34,4.940000057220459,4.0,4.739999771118164,5.0,4.71999979019165,47,0.0,1,1.0,0.0,1.0,0.0,1.0,6,3
0.32688611883059976,2,2.0,4,6,180.0,11,4.769999980926514,4.0,4.769999980926514,5.0,4.849999904632568,13,1.0,1,0.0,0.0,0.0,0.0,1.0,6,0
1.6372477372328438,4,3.0,4,12,250.0,26,5.0,5.0,5.0,5.0,5.0,1,0.0,1,0.0,0.0,0.0,0.0,1.0,0,11
1.6153168636784345,3,2.0,4,8,196.0,40,4.800000190734863,4.0,4.860000133514404,4.949999809265137,4.730000019073486,120,0.0,1,1.0,0.0,0.0,0.0,1.0,8,0
0.3015113859676312,2,2.0,6,5,130.0,26,4.900000095367432,4.0,4.670000076293945,4.920000076293945,4.760000228881836,103,0.0,1,1.0,0.0,1.0,0.0,1.0,8,1
1.8820408420151769,2,2.0,4,6,300.0,26,5.0,5.0,5.0,4.949999809265137,4.949999809265137,22,0.0,1,1.0,0.0,1.0,0.0,1.0,6,0
0.2183826614115115,2,1.0,2,6,300.0,38,4.820000171661377,4.0,4.730000019073486,5.0,4.909999847412109,11,0.0,1,0.0,0.0,1.0,0.0,1.0,6,11
0.03731310968189222,1,1.0,2,4,190.0,30,4.75,4.0,4.949999809265137,4.900000095367432,4.800000190734863,20,1.0,1,0.0,1.0,0.0,0.0,1.0,6,1
1.2761010492980127,2,2.0,0,5,250.0,39,4.820000171661377,4.0,5.0,5.0,4.639999866485596,11,0.0,1,1.0,0.0,1.0,0.0,1.0,1,0
1.0105730234289847,3,2.0,3,8,250.0,45,5.0,5.0,4.78000020980835,4.78000020980835,4.889999866485596,9,0.0,1,0.0,0.0,0.0,0.0,1.0,4,1
1.4296332818846942,2,2.0,3,6,230.0,29,4.880000114440918,4.0,4.789999961853027,4.929999828338623,4.739999771118164,57,0.0,1,0.0,0.0,1.0,0.0,1.0,7,0
0.0509775305899246,2,2.0,3,6,240.0,0,4.5,4.0,4.809999942779541,4.809999942779541,4.559999942779541,16,1.0,1,0.0,1.0,0.0,0.0,1.0,6,1
0.438120311373009,3,2.0,6,8,200.0,21,4.860000133514404,4.0,4.789999961853027,4.929999828338623,4.860000133514404,14,1.0,1,0.0,0.0,0.0,0.0,1.0,5,1
0.026111769462679745,1,1.0,2,4,190.0,0,5.0,5.0,4.5,5.0,4.5,2,1.0,1,0.0,1.0,0.0,1.0,1.0,6,1
1.9429440010792276,2,1.0,2,7,200.0,10,4.590000152587891,4.0,4.260000228881836,4.889999866485596,4.519999980926514,27,1.0,1,1.0,0.0,0.0,0.0,1.0,6,0
