feature,coef_padronizado,exp_coef,import_rel_pct
number_of_bathrooms,0.1412465811920594,1.1517086026545125,13.0
number_of_guests,0.13952053486089266,1.1497224148655107,12.9
number_of_bedrooms,0.13621556416188488,1.1459288881726744,12.6
is_professional,0.12025207017869052,1.1277810957354588,11.1
star_rating,0.0916702750071509,1.096003382788755,8.5
listing_type_apart,0.07975947505907538,1.083026541449785,7.4
is_guest_favorite,-0.06593907214944891,0.9361879024706038,6.1
location_rating,0.04022676366262596,1.0410468190178277,3.7
guest_satisfaction_overall,-0.035947486161265745,0.9646909517780506,3.3
is_superhost,-0.03578393267497823,0.9648487432497249,3.3
number_of_beds,-0.035290626428274886,0.9653248265796796,3.3
months_host,0.024878773764494995,1.02519083296577,2.3
value_rating,-0.024639059480607697,0.9756620044329338,2.3
can_instant_book,0.022771548508103378,1.0230327994798,2.1
is_new_listing,0.02194832456131322,1.0221909609392823,2.0
years_host,-0.01823996539686152,0.9819253759722089,1.7
cleaning_fee,-0.013240874724471483,0.9868464000345585,1.2
tem_estacionamento,-0.010414532261086816,0.9896395112048372,1.0
dist_praia_km,0.00891784034578026,1.0089577227508133,0.8
picture_count,-0.006196736509051331,0.9938224236653505,0.6
cleanliness_rating,0.005834983354671729,1.0058520400290458,0.5
number_of_reviews,-0.005548858840060165,0.9944665076418693,0.5
